APD,HOST,IMPRESSIONS
6281.498365,247sports.com,29188325
15246.0266,allrecipes.com,125593764
14495.09092,elitedaily.com,73143505
14504.05313,littlethings.com,126138114
18516.82311,m.eonline.com,316743548
12168.4812,nameberry.com,33802111
22758.58347,nypost.com,131015938
12024.42628,people.com,263314222
17990.26557,time.com,24570681
7592.131519,www.90min.com,18501287
18704.71814,www.askmen.com,45429902
16744.14882,www.cbsnews.com,68018889
13842.52451,www.cbssports.com,37153179
14130.68602,www.chowhound.com,41239241
5748.157558,www.closerweekly.com,38011334
19428.98462,www.cnbc.com,95220205
17230.059,www.cnn.com,578159367
11258.23495,www.complex.com,31653237
23165.99309,www.cracked.com,27511821
32512.0937,www.dailymail.co.uk,386345972
10297.95311,www.diynetwork.com,159116487
8742.828041,www.etonline.com,83034845
37779.31841,www.eurosport.fr,1730300
2281.815928,www.fhm.com,140848402
3010.571078,www.firstforwomen.com,107708652
17228.08915,www.food.com,85969975
14854.01175,www.foodnetwork.com,110728372
16588.28496,www.gamefaqs.com,75761367
12042.069,www.gamespot.com,31651916
10960.10429,www.hgtv.com,171205136
32420.61624,www.independent.co.uk,9298737
5956.503609,www.intouchweekly.com,281211584
4053.766117,www.lifeandstylemag.com,458864309
19619.93922,www.littlethings.com,378460913
19482.84755,www.livestrong.com,62789746
7247.119356,www.maxpreps.com,24477360
9572.290396,www.metrolyrics.com,45516570
12351.3816,www.msnbc.com,48633962
17055.6459,www.nbcnews.com,215315003
9956.720214,www.scarymommy.com,150265
13031.50544,www.si.com,28733906
9331.858158,www.telemundo.com,79546507
19138.52202,www.thedailybeast.com,155968269
8239.657928,www.today.com,185280718
4663.763683,www.totalprosports.com,117013369
9673.694824,www.tvguide.com,37671982
17704.18145,www.usatoday.com,47048902
27182.70515,www.vladtv.com,32324128
4600.828192,www.womansworld.com,159873464
8832.105259,www.xxlmag.com,57163856
